Datum,Zahl 1,Zahl 2,Zahl 3,Zahl 4,Zahl 5,Zahl 6,Zusatzzahl,Gesamt - Ausbezahlt,6er - Gewinner,6er - Betrag,6er - Ausbezahlt,5er ZZ - Gewinner,5er ZZ - Betrag,5er ZZ - Ausbezahlt,5er - Gewinner,5er - Betrag,5er - Ausbezahlt,4er ZZ - Gewinner,4er ZZ - Betrag,4er ZZ - Ausbezahlt,4er - Gewinner,4er - Betrag,4er - Ausbezahlt,3er ZZ - Gewinner,3er ZZ - Betrag,3er ZZ - Ausbezahlt,3er - Gewinner,3er - Betrag,3er - Ausbezahlt,ZZ - Gewinner,ZZ - Betrag,ZZ - Ausbezahlt,6er - Pott Start,6er - Pott Bonus
2024-05-26,1,6,13,21,40,45,22,2594913.2,1,1388121.7,1388121.7,1,111500.5,111500.5,109,1060.8,115627.2,252,147.4,37144.8,4341,49.9,216615.9,5768,16.1,92864.8,69401,5.3,367825.3,204010,1.3,265213.0,562191.5,825930.2
2024-05-22,14,19,28,32,40,42,1,838193.8,JP,562191.5,0.0,2,37947.9,75895.8,59,1334.0,78706.0,125,202.3,25287.5,2732,54.0,147528.0,3277,19.3,63246.1,43468,5.8,252114.4,150320,1.3,195416.0,,562191.5
2024-05-19,7,13,19,25,33,39,40,3053970.7,2,1005392.4,2010784.8,1,97697.8,97697.8,114,888.7,101311.8,203,160.4,32561.2,4442,42.7,189673.4,4636,17.5,81130.0,62458,5.2,324781.6,166177,1.3,216030.1,1287097.1,-281704.7
2024-05-17,22,23,28,35,41,43,15,959858.8,DJP,1287097.1,0.0,2,44433.0,88866.0,69,1335.6,92156.4,160,185.1,29616.0,2817,61.3,172682.1,4219,17.5,73832.5,47568,6.2,294921.6,159834,1.3,207784.2,628829.7,658267.4
2024-05-15,19,22,23,24,30,33,12,928176.2,JP,628829.7,0.0,1,84892.0,84892.0,62,1419.9,88033.8,164,172.5,28290.0,2842,58.0,164836.0,4405,16.0,70480.0,48893,5.8,283579.4,160050,1.3,208065.0,,628829.7
2024-05-12,1,5,14,25,29,35,26,5012084.7,2,1731811.5,3463623.0,7,20266.8,141867.6,95,1548.6,147117.0,266,177.7,47268.2,5166,53.3,275347.8,7153,16.5,118024.5,84787,5.6,474807.2,264638,1.3,344029.4,2412750.5,-680939.0
2024-05-08,2,4,9,16,19,44,43,1325677.5,3JP,2412750.5,0.0,4,30978.7,123914.8,102,1259.8,128499.6,216,191.2,41299.2,5409,44.5,240700.5,5712,18.0,102816.0,83794,4.9,410590.6,213736,1.3,277856.8,1494861.0,917889.5
2024-05-05,15,17,28,34,36,37,3,1345509.8,DJP,1494861.0,0.0,3,39862.9,119588.7,82,1512.4,124016.8,287,138.8,39835.6,4004,58.0,232232.0,6046,16.4,99154.4,66437,6.0,398622.0,255431,1.3,332060.3,609018.6,885842.4
2024-05-01,3,10,21,24,36,38,15,884489.4,JP,609018.6,0.0,3,27405.8,82217.4,73,1167.9,85256.7,144,190.3,27403.2,3111,51.3,159594.3,3934,17.4,68451.6,49911,5.5,274510.5,143889,1.3,187055.7,,609018.6
2024-04-28,4,9,30,38,41,44,26,10310061.6,1,7535657.6,7535657.6,5,50985.9,254929.5,203,1302.3,264366.9,496,171.3,84964.8,8716,56.8,495068.8,12822,16.5,211563.0,145569,5.8,844300.2,476316,1.3,619210.8,5647287.4,1888370.2
2024-04-24,3,23,24,34,35,45,26,2149986.3,6JP,5647287.4,0.0,6,32993.0,197958.0,151,1359.5,205284.5,378,174.5,65961.0,6830,56.3,384529.0,9871,16.7,164845.7,113414,5.8,657801.2,364313,1.3,473606.9,4180927.9,1466359.5
